iter	Logloss
0	0.6793364387
1	0.6672114091
2	0.6552191204
3	0.6437880471
4	0.6342583622
5	0.625568913
6	0.6177436197
7	0.6089870333
8	0.6012273598
9	0.5942435987
10	0.5877081326
11	0.5811819787
12	0.5749981355
13	0.5688066162
14	0.5623749773
15	0.5569147522
16	0.5525476848
17	0.5479536063
18	0.5436555944
19	0.5395281874
20	0.5369519476
21	0.5327294217
22	0.5295048646
23	0.5260912535
24	0.5233651131
25	0.5207051753
26	0.5180303138
27	0.5155213075
28	0.5131921882
29	0.5105818861
30	0.5082208553
31	0.5062498901
32	0.5045098711
33	0.5025449747
34	0.5007131128
35	0.4993525967
36	0.4978156894
37	0.496749517
38	0.4956572593
39	0.4941333511
40	0.4926784374
41	0.4912472697
42	0.4896719429
43	0.4882951904
44	0.48737193
45	0.4857230375
46	0.4845302206
47	0.4832549825
48	0.4823068296
49	0.4813241794
50	0.4803406517
51	0.4792072599
52	0.4782592
53	0.4771103209
54	0.4758867129
55	0.475175558
56	0.4743263295
57	0.4735198442
58	0.4732358079
59	0.4725015212
60	0.4714249967
61	0.4707413163
62	0.4700239544
63	0.4691915179
64	0.4684720059
65	0.4675400365
66	0.4669427044
67	0.4665102859
68	0.4658667741
69	0.4649951636
70	0.4644246394
71	0.4637910141
72	0.4629641134
73	0.462292429
74	0.4617626908
75	0.4613321014
76	0.460687907
77	0.4598695819
78	0.4595805617
79	0.4589266011
80	0.458586239
81	0.4580721536
82	0.4574618237
83	0.4570683168
84	0.4565906455
85	0.4559633228
86	0.4554937281
87	0.4550550557
88	0.4545290257
89	0.4541089644
90	0.4538331999
91	0.4531025395
92	0.4526318862
93	0.452439544
94	0.4520252146
95	0.4516409732
96	0.4510487593
97	0.4508015425
98	0.4504612797
99	0.4500395214
100	0.449531577
101	0.4492493349
102	0.4487814284
103	0.4485538054
104	0.448243598
105	0.4479843953
106	0.4476540687
107	0.4473327923
108	0.4470145295
109	0.4466799396
110	0.4460620635
111	0.4456614352
112	0.4452893829
113	0.4450455456
114	0.4447829719
115	0.4443008252
116	0.4439295916
117	0.4436147602
118	0.4432421589
119	0.4430538435
120	0.4427002248
121	0.4423232412
122	0.441883553
123	0.4414948966
124	0.4410307835
125	0.4405964864
126	0.4402257346
127	0.4400296856
128	0.4395720939
129	0.4393614831
130	0.4390382029
131	0.4385858171
132	0.4383213632
133	0.4380126858
134	0.4376158276
135	0.4373806319
136	0.4371532387
137	0.4369724056
138	0.4366966998
139	0.436324437
140	0.4358173208
141	0.4355632417
142	0.4352065762
143	0.4349596926
144	0.4345602707
145	0.4343373302
146	0.4339870255
147	0.4336214366
148	0.4334237128
149	0.433215068
150	0.4329041102
151	0.4325745324
152	0.4323340542
153	0.4320090648
154	0.4317124332
155	0.4314039562
156	0.4311459879
157	0.4309777392
158	0.4307958949
159	0.4306887801
160	0.4304248767
161	0.4301790868
162	0.4300050629
163	0.4297396793
164	0.4294899244
165	0.4291889707
166	0.4290274779
167	0.4288402311
168	0.4286229293
169	0.428352586
170	0.4281035861
171	0.4275776157
172	0.4272545605
173	0.426750825
174	0.4265906097
175	0.4261600848
176	0.426010052
177	0.4258821925
178	0.4256547373
179	0.4253601095
180	0.4251856478
181	0.4249615062
182	0.4247042253
183	0.4244606767
184	0.4241774317
185	0.4236433723
186	0.4233937367
187	0.4232131379
188	0.4226515438
189	0.422361835
190	0.4220370064
191	0.421704129
192	0.4213372325
193	0.4210182912
194	0.420718522
195	0.4203831046
196	0.420082382
197	0.4197626625
198	0.4193419811
199	0.4191147864
200	0.418753461
201	0.4185812043
202	0.4182052678
203	0.4179761653
204	0.4176015605
205	0.4174170328
206	0.417165965
207	0.4168787027
208	0.416684418
209	0.4162959105
210	0.4159375388
211	0.4156559635
212	0.4154311811
213	0.4148581603
214	0.4146669961
215	0.4143907005
216	0.4141058304
217	0.4138482386
218	0.4134960202
219	0.4130576837
220	0.4128678339
221	0.4126219838
222	0.4123874036
223	0.4120377419
224	0.4116967703
225	0.4113415811
226	0.4109853835
227	0.4105798614
228	0.4105765559
229	0.410568865
230	0.410427455
231	0.4100403392
232	0.4097489448
233	0.4094080937
234	0.4091718766
235	0.4087815721
236	0.4085426425
237	0.4082845056
238	0.4080846933
239	0.4079344741
240	0.4076113146
241	0.4072608985
242	0.4069667913
243	0.4067705389
244	0.4062918456
245	0.406076953
246	0.4056269376
247	0.4054322628
248	0.4051153463
249	0.4046998739
250	0.4044515579
251	0.4041984914
252	0.4039625469
253	0.4036907886
254	0.4034413794
255	0.4030241553
256	0.4028626328
257	0.4026030468
258	0.4024128185
259	0.4021994013
260	0.4019100245
261	0.4017144028
262	0.4013361112
263	0.4009718731
264	0.4006857807
265	0.4004493759
266	0.4002746219
267	0.3999461682
268	0.3997381057
269	0.3995003281
270	0.3993504846
271	0.3991415625
272	0.3988650647
273	0.3986655532
274	0.3983794327
275	0.3980544334
276	0.397706461
277	0.3975201381
278	0.3973127853
279	0.3970437923
280	0.396916375
281	0.3966710611
282	0.3965088273
