model,mean,std,lower,upper
logistic_regression,0.8485037946970365,0.01286409038933238,0.8222898370610254,0.8746231084033536
random_forest,0.8241548552275135,0.013477990747537392,0.7980997300267759,0.8501498627042954
xgboost,0.8351364030095073,0.01352725913730414,0.8070799707790429,0.8605330638911209
lightgbm,0.8268725818849209,0.013798228413396226,0.7992191234601949,0.8531628820748498
catboost,0.8400401500195901,0.01316031251178915,0.8134582500433756,0.8656323058848786
hist_gradient_boosting,0.8326864829464252,0.013204975007219259,0.8052259380529592,0.8573921641661926
